case ID,turn count,resource,new,Sitter
voip-f246dfe0f2-20130328_161556,0,S,Request,A|offer
voip-f246dfe0f2-20130328_161556,0,U,Query,U|request
voip-f246dfe0f2-20130328_161556,0,U,Query,U|request
voip-f246dfe0f2-20130328_161556,1,S,Request,A|offer
voip-f246dfe0f2-20130328_161556,1,U,Query,U|request
voip-f246dfe0f2-20130328_161556,2,S,Request,A|offer
voip-f246dfe0f2-20130328_161556,2,S,Answer,A|assert
voip-f246dfe0f2-20130328_161556,2,S,Answer,A|assert
voip-f246dfe0f2-20130328_161556,2,U,Query,U|request
voip-f246dfe0f2-20130328_161556,2,U,Query,U|request
voip-f246dfe0f2-20130328_161556,3,S,A,A|assert
voip-f246dfe0f2-20130328_161556,3,S,A,A|assert
voip-f246dfe0f2-20130328_161556,3,S,A,A|assert
voip-f246dfe0f2-20130328_161556,3,S,A,A|assert
voip-f246dfe0f2-20130328_161556,3,U,Query,U|request
voip-f246dfe0f2-20130328_161556,4,S,A,A|assert
voip-f246dfe0f2-20130328_161556,4,S,A,A|assert
voip-f246dfe0f2-20130328_161556,4,U,Query,U|request
voip-f246dfe0f2-20130328_161556,5,S,A,A|assert
voip-f246dfe0f2-20130328_161556,5,S,A,A|assert
voip-f246dfe0f2-20130328_161556,5,U,Query,U|request
voip-f246dfe0f2-20130328_161556,6,S,A,A|assert
voip-f246dfe0f2-20130328_161556,6,S,A,A|assert
voip-f246dfe0f2-20130328_161556,6,U,Feedback,U|be contented
voip-f246dfe0f2-20130328_161556,7,S,A,A|assert
voip-f246dfe0f2-20130328_161556,7,S,A,A|assert
voip-f246dfe0f2-20130328_161556,7,S,A,A|assert
voip-f246dfe0f2-20130328_161556,7,U,Bye,U|bye*
voip-be5694f464-20130328_125233,0,S,Request,A|offer
voip-be5694f464-20130328_125233,0,U,Query,U|request
voip-be5694f464-20130328_125233,0,U,Query,U|request
voip-be5694f464-20130328_125233,1,S,A,A|assert
voip-be5694f464-20130328_125233,1,S,A,A|assert
voip-be5694f464-20130328_125233,1,S,A,A|assert
voip-be5694f464-20130328_125233,1,U,Query,U|request
voip-be5694f464-20130328_125233,2,S,A,A|assert
voip-be5694f464-20130328_125233,2,S,A,A|assert
voip-be5694f464-20130328_125233,2,U,Bye,U|bye*
voip-be5694f464-20130328_125916,0,S,Request,A|offer
voip-be5694f464-20130328_125916,0,U,Feedback,U|accept
voip-be5694f464-20130328_125916,0,U,Query,U|request
voip-be5694f464-20130328_125916,1,S,Request,A|offer
voip-be5694f464-20130328_125916,1,U,Query,U|request
voip-be5694f464-20130328_125916,2,S,Answer,A|reject
voip-be5694f464-20130328_125916,2,U,Query,U|request
voip-be5694f464-20130328_125916,2,U,Query,U|request
voip-be5694f464-20130328_125916,3,S,A,A|assert
voip-be5694f464-20130328_125916,3,S,A,A|assert
voip-be5694f464-20130328_125916,3,U,Query,U|request
voip-be5694f464-20130328_125916,4,S,A,A|assert
voip-be5694f464-20130328_125916,4,S,A,A|assert
voip-be5694f464-20130328_125916,4,U,Query,U|request
voip-be5694f464-20130328_125916,5,S,A,A|assert
voip-be5694f464-20130328_125916,5,S,A,A|assert
voip-be5694f464-20130328_125916,5,U,Bye,U|bye*
voip-8efef4eae9-20130325_233404,0,S,Request,A|offer
voip-8efef4eae9-20130325_233404,0,U,Query,U|request
voip-8efef4eae9-20130325_233404,1,S,Request,A|offer
voip-8efef4eae9-20130325_233404,1,U,Query,U|request
voip-8efef4eae9-20130325_233404,2,S,Request,A|offer
voip-8efef4eae9-20130325_233404,2,U,Query,U|request
voip-8efef4eae9-20130325_233404,3,S,A,A|assert
voip-8efef4eae9-20130325_233404,3,S,A,A|assert
voip-8efef4eae9-20130325_233404,3,S,A,A|assert
voip-8efef4eae9-20130325_233404,3,S,A,A|assert
voip-8efef4eae9-20130325_233404,3,U,Query,U|request
voip-8efef4eae9-20130325_233404,4,S,A,A|assert
voip-8efef4eae9-20130325_233404,4,S,A,A|assert
voip-8efef4eae9-20130325_233404,4,U,Query,U|request
voip-8efef4eae9-20130325_233404,5,S,A,A|assert
voip-8efef4eae9-20130325_233404,5,S,A,A|assert
voip-8efef4eae9-20130325_233404,5,U,Bye,U|bye*
voip-8efef4eae9-20130325_230851,0,S,Request,A|offer
voip-8efef4eae9-20130325_230851,0,U,Query,U|request
voip-8efef4eae9-20130325_230851,1,S,Request,A|offer
voip-8efef4eae9-20130325_230851,1,U,Query,U|request
voip-8efef4eae9-20130325_230851,2,S,Request,A|request*
voip-8efef4eae9-20130325_230851,2,U,Feedback,U|accept
voip-8efef4eae9-20130325_230851,3,S,Request,A|offer
voip-8efef4eae9-20130325_230851,4,S,A,A|assert
voip-8efef4eae9-20130325_230851,4,S,A,A|assert
voip-8efef4eae9-20130325_230851,4,U,Query,U|request
voip-8efef4eae9-20130325_230851,5,S,A,A|assert
voip-8efef4eae9-20130325_230851,5,S,A,A|assert
voip-8efef4eae9-20130325_230851,5,S,A,A|assert
voip-8efef4eae9-20130325_230851,5,U,Query,U|request
voip-8efef4eae9-20130325_230851,5,U,Query,U|request
voip-8efef4eae9-20130325_230851,6,S,A,A|assert
voip-8efef4eae9-20130325_230851,6,S,A,A|assert
voip-8efef4eae9-20130325_230851,6,S,A,A|assert
voip-8efef4eae9-20130325_230851,6,U,Query,U|request
voip-8efef4eae9-20130325_230851,7,S,A,A|assert
voip-8efef4eae9-20130325_230851,7,S,A,A|assert
voip-8efef4eae9-20130325_230851,7,S,A,A|assert
voip-8efef4eae9-20130325_230851,7,U,Query,U|request
voip-8efef4eae9-20130325_230851,8,S,A,A|assert
voip-8efef4eae9-20130325_230851,8,S,A,A|assert
voip-8efef4eae9-20130325_230851,8,U,Query,U|request
voip-8efef4eae9-20130325_230851,9,S,A,A|assert
voip-8efef4eae9-20130325_230851,9,S,A,A|assert
voip-8efef4eae9-20130325_230851,9,U,Query,U|request
voip-8efef4eae9-20130325_230851,10,S,A,A|assert
voip-8efef4eae9-20130325_230851,10,S,A,A|assert
voip-8efef4eae9-20130325_230851,11,S,A,A|assert
voip-8efef4eae9-20130325_230851,11,S,A,A|assert
voip-8efef4eae9-20130325_230851,11,S,A,A|assert
voip-8efef4eae9-20130325_230851,12,S,A,A|assert
voip-8efef4eae9-20130325_230851,12,S,A,A|assert
voip-8efef4eae9-20130325_230851,12,S,A,A|assert
voip-8efef4eae9-20130325_230851,13,S,A,A|assert
voip-8efef4eae9-20130325_230851,13,S,A,A|assert
voip-8efef4eae9-20130325_230851,13,S,A,A|assert
voip-8efef4eae9-20130325_230851,14,S,A,A|assert
voip-8efef4eae9-20130325_230851,14,U,Query,U|request
voip-8efef4eae9-20130325_230851,15,S,A,A|assert
voip-8efef4eae9-20130325_230851,15,S,A,A|assert
voip-8efef4eae9-20130325_230851,16,S,Answer,A|reject
voip-8efef4eae9-20130325_230851,16,S,Answer,A|reject
voip-8efef4eae9-20130325_230851,16,S,Answer,A|reject
voip-8efef4eae9-20130325_230851,16,S,Answer,A|reject
voip-8efef4eae9-20130325_230851,16,S,Answer,A|reject
voip-8efef4eae9-20130325_230851,16,U,Query,U|request
voip-8efef4eae9-20130325_230851,17,S,A,A|assert
voip-8efef4eae9-20130325_230851,17,U,Query,U|request
voip-8efef4eae9-20130325_230851,18,S,A,A|assert
voip-8efef4eae9-20130325_230851,18,S,A,A|assert
voip-8efef4eae9-20130325_230851,19,S,A,A|assert
voip-8efef4eae9-20130325_230851,19,S,A,A|assert
voip-8efef4eae9-20130325_230851,20,S,A,A|assert
voip-8efef4eae9-20130325_230851,20,S,A,A|assert
voip-8efef4eae9-20130325_230851,21,S,A,A|assert
voip-8efef4eae9-20130325_230851,21,S,A,A|assert
voip-8efef4eae9-20130325_230851,21,S,A,A|assert
voip-8efef4eae9-20130325_230851,21,U,Query,U|request
voip-8efef4eae9-20130325_230851,22,S,A,A|assert
voip-8efef4eae9-20130325_230851,22,U,Query,U|request
voip-8efef4eae9-20130325_230851,23,S,A,A|assert
voip-8efef4eae9-20130325_230851,23,S,A,A|assert
voip-8efef4eae9-20130325_230851,23,U,Query,U|request
